Date,DEQ,Bench
04.07.2014,0,-0.013407113
04.08.2014,0,-0.001412566
04.09.2014,0,0.006491992
04.10.2014,0,-0.015235013
04.11.2014,-0.022811777,-0.011817528
4.14.14,0,0.009106199
4.15.14,0,-0.001386991
4.16.14,0,0.012141362
4.17.14,0.023963275,0.002149614
4.18.14,0,0.00061514
4.21.14,0,0.002752472
4.22.14,0,0.009205589
4.23.14,0,-0.00502941
4.24.14,0,0.002830189
4.25.14,0,-0.008187471
4.28.14,0,0.002183815
4.29.14,0,0.009299825
4.30.14,0,0.000219513
05.01.2014,0,0.000504762
05.02.2014,0.007426603,-0.00112099
05.05.2014,0,-0.000400932
05.06.2014,0,-0.007606909
05.07.2014,0,0.003807708
05.08.2014,0,0.007149706
05.09.2014,0.007114642,0.003201503
05.12.2014,0,0.008789133
5.13.14,0,0.003699318
5.14.14,0,-0.002542743
5.15.14,0,-0.008784941
5.16.14,0.007319777,0.003554766
5.19.14,0,0.000682748
5.20.14,0,-0.002290888
5.21.14,0,0.008396141
5.22.14,0,0.002718763
5.23.14,0.009040978,0.003846492
5.26.14,0,0.002320201
5.27.14,0,0.005698813
5.28.14,0,3.84E-05
5.29.14,0,0.002173703
5.30.14,0.005359231,-0.000968248
06.02.2014,0,0.003298847
06.03.2014,0,-0.003014143
06.04.2014,0,0.001281249
06.05.2014,0,0.005449637
06.06.2014,0.005830456,0.005273607
06.09.2014,0,0.004083985
06.10.2014,0,0.003351994
06.11.2014,0,-0.003761238
06.12.2014,0,-0.004108366
6.13.14,0.002484228,0.001279731
6.16.14,0,-0.003469725
6.17.14,0,0.003748721
6.18.14,0,0.002500603
6.19.14,0,0.001113421
6.20.14,0.00528663,0.00289229
6.23.14,0,-0.003039708
6.24.14,0,-0.003848652
6.25.14,0,-0.004439799
6.26.14,0,0.0009791
6.27.14,-0.007148686,-0.000565867
6.30.14,0,-0.002231688
07.01.2014,0,0.008287726
07.02.2014,0,0.002388008
07.03.2014,0,0.009039642
07.04.2014,0.014731431,-0.0007466
07.07.2014,0,-0.006640406
07.08.2014,0,-0.010450746
07.09.2014,0,0.001137927
07.10.2014,0,-0.0056041
07.11.2014,-0.016148792,0.001233512
7.14.14,0,0.005910368
7.15.14,0,-0.000703322
7.16.14,0,0.009879164
7.17.14,0,-0.00972413
7.18.14,0.011854434,0.005548141
7.21.14,0,-0.004030049
7.22.14,0,0.010797103
7.23.14,0,0.001873322
7.24.14,0,0.002263062
7.25.14,0.001474687,-0.004240979
7.28.14,0,-0.001093273
7.29.14,0,9.68E-05
7.30.14,0,-0.001076457
7.31.14,0,-0.016334892
08.01.2014,-0.02470547,-0.009662893
08.04.2014,0,0.00328472
08.05.2014,0,-0.001599451
08.06.2014,0,-0.003447996
08.07.2014,0,-0.005881458
08.08.2014,-0.006458684,0.000406814
08.11.2014,0,0.009199534
08.12.2014,0,-0.000245861
8.13.14,0,0.005135895
8.14.14,0,0.003586561
8.15.14,0.010299715,-0.002104951
8.18.14,0,0.010686088
8.19.14,0,0.006984334
8.20.14,0,0.002475301
8.21.14,0,0.004952525
8.22.14,0.016545528,0.000129952
8.25.14,0,0.009333206
8.26.14,0,0.004029523
8.27.14,0,0.000518198
8.28.14,0,-0.002666624
8.29.14,0.011755037,0.00317565
09.01.2014,0,0.002577238
09.02.2014,0,-0.000104781
09.03.2014,0,0.002684936
09.04.2014,0,0.011660693
09.05.2014,0.01210593,0.000665692
09.08.2014,0,-0.003160605
09.09.2014,0,-0.003625525
09.10.2014,0,0.002076983
09.11.2014,0,-0.001686428
09.12.2014,-0.007947322,-0.002895718
9.15.14,0,-0.00085527
9.16.14,0,0.002331202
9.17.14,0,0.002236893
9.18.14,0,0.009049595
9.19.14,0.012299698,0.003636906
9.22.14,0,-0.005391775
9.23.14,0,-0.011270726
9.24.14,0,0.010259547
9.25.14,0,-0.010381891
9.26.14,-0.013509151,0.007462072
9.29.14,0,-0.002826213
9.30.14,0,0.004233538
10.01.2014,0,-0.009815102
10.02.2014,0,-0.014148011
10.03.2014,-0.014585552,0.016627396
10.06.2014,0,-0.002450023
10.07.2014,0,-0.017629626
10.08.2014,0,0.002032789
10.09.2014,0,-0.013102071
10.10.2014,-0.031658568,-0.009813581
10.13.14,0,-0.010280342
10.14.14,0,0.001749568
10.15.14,0,-0.023710326
10.16.14,0,-0.003429183
10.17.14,-0.011124365,0.020468173
10.20.14,0,0.001735905
10.21.14,0,0.022357622
10.22.14,0,0.002870616
10.23.14,0,0.009845713
10.24.14,0.031343938,0.0016056
10.27.14,0,-0.00560252
10.28.14,0,0.009069155
10.29.14,0,-0.000628716
10.30.14,0,0.011847081
10.31.14,0.033055797,0.018541848
11.03.2014,0,-0.001736192
11.04.2014,0,-0.01011224
11.05.2014,0,0.01478944
11.06.2014,0,0.005101147
11.07.2014,0.005077757,-0.001300728
11.10.2014,0,0.004434368
11.11.2014,0,0.002641571
11.12.2014,0,-0.008035705
11.13.14,0,0.001815909
11.14.14,-0.000721703,-0.000109236
11.17.14,0,0.003727949
11.18.14,0,0.002876963
11.19.14,0,-0.001298625
11.20.14,0,-0.00047683
11.21.14,0.025278882,0.018492852
11.24.14,0,0.001031163
11.25.14,0,-0.001235343
11.26.14,0,-0.000545531
11.27.14,0,0.003453031
11.28.14,-0.004070165,-0.000497627
12.01.2014,0,-0.006140214
12.02.2014,0,0.008844827
12.03.2014,0,0.008002272
12.04.2014,0,-0.011612998
12.05.2014,0.013832145,0.015307603
12.08.2014,0,-0.006163931
12.09.2014,0,-0.017620631
12.10.2014,0,-0.009779101
12.11.2014,0,0.004381455
12.12.2014,-0.051627935,-0.024176122
12.15.14,0,-0.013511349
12.16.14,0,0.002044804
12.17.14,0,0.015717608
12.18.14,0,0.032353396
12.19.14,0.045283645,0.004017237
12.22.14,0,0.005218836
12.23.14,0,0.00677215
12.24.14,0.008992818,-0.000580709
12.25.14,0,-0.00232729
12.26.14,0,0.004647718
12.29.14,0,0.000957653
12.30.14,0,-0.006836372
12.31.14,0,-0.000184319
01.01.2015,0,-0.002466902
01.02.2015,-0.00209257,0.003387873
01.05.2015,0,-0.015648986
01.06.2015,0,-0.008161051
01.07.2015,0,0.013594044
01.08.2015,0,0.023267012
01.09.2015,0.001553372,-0.012337354
01.12.2015,0,-0.000315111
1.13.15,0,0.007064084
1.14.15,0,-0.010176266
1.15.15,0,0.016978357
1.16.15,0.024658751,0.015704477
1.19.15,0,-0.004761139
1.20.15,0,0.008189862
1.21.15,0,0.00495004
1.22.15,0,0.02247102
1.23.15,0.049417276,0.013668788
1.26.15,0,0.003639089
1.27.15,0,-0.016650863
1.28.15,0,-0.004031397
1.29.15,0,0.004257656
1.30.15,-0.025960849,-0.006724396
02.02.2015,0,0.003566529
02.03.2015,0,0.006400499
02.04.2015,0,0.002024656
02.05.2015,0,0.005571165
02.06.2015,0.026504674,0.002848433
02.09.2015,0,-0.005303265
02.10.2015,0,0.00895625
02.11.2015,0,-0.000604203
02.12.2015,0,0.005557332
2.13.15,0.014352727,0.003770696
2.16.15,0,-0.000303078
2.17.15,0,0.001662385
2.18.15,0,0.005968866
2.19.15,0,0.000112654
2.20.15,0.00995445,0.005098854
2.23.15,0,0.00410617
2.24.15,0,0.00473422
2.25.15,0,-0.001997932
2.26.15,0,0.011091315
2.27.15,0.014503048,-1.85E-05
03.02.2015,0,0.003394968
03.03.2015,0,-0.00641354
03.04.2015,0,0.006898328
03.05.2015,0,0.007562588
03.06.2015,0.009784791,0.000936315
03.09.2015,0,0.001693541
03.10.2015,0,-0.006058014
03.11.2015,0,0.01228355
03.12.2015,0,0.004710386
3.13.15,0.01065221,0.002524863
3.16.15,0,0.008465468
3.17.15,0,-0.006353545
3.18.15,0,0.00606528
3.19.15,0,0.001610019
3.20.15,0.005168025,0.000379489
3.23.15,0,-0.010204172
3.24.15,0,-0.000465526
3.25.15,0,-0.016353205
3.26.15,0,-0.002063653
3.27.15,-0.022256856,0.003420254
3.30.15,0,0.014870835
3.31.15,0,-0.003629616
04.01.2015,0,-0.000468684
04.02.2015,0.000899501,-0.004344498
04.03.2015,0,-0.005140102
04.06.2015,0,0.000601322
04.07.2015,0,0.014618697
04.08.2015,0,0.005179163
04.09.2015,0,0.013723999
04.10.2015,0.042582632,0.010200109
4.13.15,0,0.000691174
4.14.15,0,-0.006964436
4.15.15,0,0.009737725
4.16.15,0,-0.008991774
4.17.15,-0.020885884,-0.017407463
4.20.15,0,0.010202155
4.21.15,0,0.002850876
4.22.15,0,0.00319574
4.23.15,0,-0.004301559
4.24.15,0.012866589,-1.11E-05
4.27.15,0,0.00172318
4.28.15,0,-0.010293438
4.29.15,0,-0.020319165
4.30.15,-0.031624061,-0.008783207
05.01.2015,0,0.002392182
05.04.2015,0,0.007774013
05.05.2015,0,-0.014218585
05.06.2015,0,-0.01193931
05.07.2015,0,0.006554209
05.08.2015,0.013946453,0.020762558
05.11.2015,0,0.002982206
05.12.2015,0,-0.0121836
5.13.15,0,-0.005488004
5.14.15,0,0.007877325
5.15.15,-0.011916111,-0.004533096
5.18.15,0,0.007219975
5.19.15,0,0.018719281
5.20.15,0,0.003516105
5.21.15,0,0.002920685
5.22.15,0.030873101,0.002768527
5.25.15,0,0.002060008
5.26.15,0,-0.005949734
5.27.15,0,0.011445322
5.28.15,0,-0.003986928
5.29.15,-0.013102423,-0.014177877
06.01.2015,0,0.004185995
06.02.2015,0,-0.015342358
06.03.2015,0,-0.005359088
06.04.2015,0,-0.008612437
06.05.2015,-0.024927236,0.002132804
06.08.2015,0,-0.012526085
06.09.2015,0,-0.003383475
06.10.2015,0,0.012073404
06.11.2015,0,0.007831926
06.12.2015,0,-0.009695877
6.15.15,0,-0.009463296
6.16.15,-0.011253874,0.006307588
6.17.15,0,-0.001408314
6.18.15,-0.004215555,-0.001626314
6.19.15,0.002187257,0.002728846
6.22.15,0.009293157,0.011184974
6.23.15,0,0.015723809
6.24.15,0.008858817,-0.005877841
6.25.15,-0.005531356,-0.002633143
6.26.15,0.00139053,0.00283285
6.29.15,-0.022634173,-0.024661155
6.30.15,-0.008382468,-0.004948942
07.01.2015,0.008883158,0.013193325
07.02.2015,-0.000994106,-0.001901812
07.03.2015,-0.002558817,-0.0028706
07.06.2015,-0.008693793,-0.005837715
07.07.2015,0.000143771,0.001534664
07.08.2015,-0.0159563,-0.013835176
07.09.2015,0.01073698,0.012955397
07.10.2015,0.007443272,0.010694466
7.13.15,0.021734452,0.022492212
7.14.15,0,0.005222858
7.15.15,0.00575681,0.003981861
7.16.15,0.013472009,0.013233367
7.17.15,-0.000688753,0.002857863
7.20.15,-0.000964918,0.001660933
7.21.15,-0.007450845,-0.010611024
7.22.15,-0.006950719,-0.001877997
7.23.15,-0.011758942,-0.009140397
7.24.15,-0.013598697,-0.009359631
7.27.15,-0.019027788,-0.020162355
7.28.15,0.013614405,0.014782912
7.29.15,0.009676488,0.008859851
7.30.15,0.010441997,0.007170175
7.31.15,-0.00594564,-0.005962715
08.03.2015,0.001352891,0.005459294
08.04.2015,0.001279954,-0.001117287
08.05.2015,0.015126767,0.012244873
08.06.2015,-0.008744928,-0.009644848
08.07.2015,-0.005504976,-0.007063627
08.10.2015,0.010503158,0.008108518
08.11.2015,-0.020998666,-0.015505866
08.12.2015,-0.017575323,-0.018931017
8.13.15,0.005330413,0.007684272
8.14.15,0.002178966,0.002275639
8.17.15,0.003623714,0.005961477
8.18.15,-0.001083189,0.001603421
8.19.15,-0.017928143,-0.013808506
8.20.15,-0.025837321,-0.027322081
8.21.15,-0.035439021,-0.035930886
8.24.15,-0.05248727,-0.058135559
8.25.15,0.018685407,0.021576057
8.26.15,0.007791575,0.01020849
8.27.15,0.039784167,0.038826425
8.28.15,0.004259933,0.002393869
8.31.15,-0.001311121,-0.004920007
09.01.2015,-0.029886478,-0.030726299
09.02.2015,0.008597357,0.012037526
09.03.2015,0.018863457,0.018241761
09.04.2015,-0.022619878,-0.02074625
09.07.2015,-7.93E-05,0.000202934
09.08.2015,0.018151554,0.017602948
09.09.2015,0.000856364,0.000501833
09.10.2015,-0.005989421,-0.005877307
09.11.2015,-0.007590578,-0.005856889
9.14.15,-0.004967671,-0.004347373
9.15.15,0.012124574,0.010647596
9.16.15,0.013545255,0.01066634
9.17.15,-0.007338741,-0.002754485
9.18.15,-0.022178988,-0.019632894
9.21.15,0.009072821,0.015711971
9.22.15,-0.022635855,-0.019229803
9.23.15,-0.005003228,-0.001225964
9.24.15,-0.02027575,-0.01838993
9.25.15,0.014817881,0.018737328
9.28.15,-0.023574517,-0.024222122
9.29.15,0.001837928,-0.003492831
9.30.15,0.028185457,0.023861292
10.01.2015,-0.006812652,-0.002065669
10.02.2015,0.009880777,0.00701271
10.05.2015,0.030484354,0.026567736
10.06.2015,0.005178908,-0.001180183
10.07.2015,0.012099922,0.005429759
10.08.2015,0.007096028,0.004156385
10.09.2015,-0.001838095,-0.002104653
10.12.2015,-0.003989872,-0.001479622
10.13.15,-0.0120946,-0.007653565
10.14.15,-0.0051466,-0.008976652
10.15.15,0.008857188,0.017005099
10.16.15,0.000932328,0.006194655
10.19.15,0.001552433,0.004390371
10.20.15,-0.002790049,-0.003967608
10.21.15,0.000932618,-0.003283146
10.22.15,0.031135958,0.02749062
10.23.15,0.024322289,0.019822805
10.26.15,-0.006101595,-0.00396077
10.27.15,-0.00591716,-0.005922579
10.28.15,0.012053571,0.010139783
10.29.15,0.003308337,0.004666514
10.30.15,-0.001905181,-0.005669225
11.02.2015,0.010131415,0.007487932
11.03.2015,0.011265354,0.007395818
11.04.2015,0.004887164,0.005043198
11.05.2015,-0.007795737,-0.002571594
11.06.2015,0.007784906,0.007503052
11.09.2015,-0.010871898,-0.010116586
11.10.2015,0.000723118,0.004472364
11.11.2015,0,-0.000537489
11.12.2015,-0.020955271,-0.015706364
11.13.15,-0.004133146,-0.008510958
11.16.15,0.009931075,0.009731667
11.17.15,0.015557349,0.015212728
11.18.15,0.006069803,0.00732608
11.19.15,-0.001723766,-0.00227344
11.20.15,0.006978919,0.006029835
11.23.15,-0.001071735,0.000329743
11.24.15,-0.003504756,-0.007074499
11.25.15,0.008900373,0.008931096
11.26.15,0.002632328,0.003919873
11.27.15,-0.002696374,0.000612912
11.30.15,0.003486304,0.001576277
12.01.2015,-0.001276234,0.000989559
12.02.2015,-0.004401533,-0.003095996
12.03.2015,-0.036223617,-0.035372079
12.04.2015,0.005548979,0.006404589
12.07.2015,-0.000735781,0.000828036
12.08.2015,-0.014505559,-0.012886265
12.09.2015,-0.007098027,-0.010975764
12.10.2015,0.002031756,0.001763891
12.11.2015,-0.020126164,-0.022227174
12.14.15,-0.010116493,-0.00767195
12.15.15,0.024001239,0.024116949
12.16.15,0.007334039,0.008105553
12.17.15,0.000750582,0.003126363
12.18.15,-0.011550289,-0.014237782
12.21.15,-0.004021549,-0.005091554
12.22.15,0.005485296,0.001953401
12.23.15,0.02409456,0.023321929
12.24.15,0,-0.004455157
12.25.15,0,-4.56E-05
12.28.15,-0.011985795,-0.001500283
12.29.15,0.015351206,0.012596883
12.30.15,-0.006195147,-0.006102471
12.31.15,-0.004601113,-0.005655791
01.01.2016,0,-0.002699241
01.04.2016,-0.014165362,-0.013757671
01.05.2016,0.003630039,0.007839345
01.06.2016,-0.017481727,-0.013797251
01.07.2016,-0.025462075,-0.026924083
01.08.2016,-0.017313292,-0.015878056
01.11.2016,-0.001601666,0.000865945
01.12.2016,0.009384776,0.010323579
1.13.16,-0.010251113,-0.011188356
1.14.16,0.005138499,0.000612722
1.15.16,-0.028596533,-0.029491987
1.18.16,0.001644602,0.001882334
1.19.16,0.000656761,0.006258753
1.20.16,-0.018377225,-0.022470489
1.21.16,0.01730046,0.016591822
1.22.16,0.021196188,0.024358491
1.25.16,-0.014963797,-0.010684288
1.26.16,0.016171186,0.010645869
1.27.16,-0.00329529,-0.004883358
1.28.16,-0.008547698,-0.009250788
1.29.16,0.027328182,0.029022715
02.01.2016,-0.003245982,-0.004289358
02.02.2016,-0.019618745,-0.019757096
02.03.2016,-0.004293932,-0.011878076
02.04.2016,0.001464605,-0.006002427
02.05.2016,-0.008368541,-0.01233374
02.08.2016,-0.023023351,-0.025032997
02.09.2016,-0.015682657,-0.014698371
02.10.2016,0.009883275,0.013624904
02.11.2016,-0.030793892,-0.030234651
02.12.2016,0.029073816,0.028319495
2.15.16,0.019116901,0.019259443
2.16.16,0.008964143,0.006460791
2.17.16,0.023856532,0.021724199
2.18.16,0.003374578,-0.000463994
2.19.16,-0.008167841,-0.003498268
2.22.16,0.017842726,0.018851495
2.23.16,-0.013405251,-0.012647811
2.24.16,-0.006914295,-0.008427006
2.25.16,0.013520078,0.015123682
2.26.16,0.013020209,0.011048261
2.29.16,0.003390632,0.002599194
03.01.2016,0.018860511,0.019859043
03.02.2016,0.007790204,0.005945778
03.03.2016,-0.002219501,-0.00424932
03.04.2016,0.002377848,0.001703465
03.07.2016,0.004744414,0.000282156
03.08.2016,-0.015536938,-0.013432174
03.09.2016,0.006807984,0.006769845
03.10.2016,-0.013908099,-0.013625666
03.11.2016,0.017377075,0.020404996
3.14.16,0.004136029,0.005414579
3.15.16,-0.008085431,-0.00599295
3.16.16,0.005536758,0.00492937
3.17.16,-0.004894463,-0.007813892
3.18.16,0.00430372,0.005243832
3.21.16,0.001989593,0.000498121
3.22.16,0.000992821,0.000917222
3.23.16,-0.004196231,-0.001543874
3.24.16,-0.010036776,-0.006756562
3.25.16,0,-4.48E-05
3.28.16,0,-0.001152151
3.29.16,0.005881898,0.00769148
3.30.16,0.002615988,0.001354483
3.31.16,-0.008057709,-0.007849713
04.01.2016,-0.002552994,-0.002104491
04.04.2016,-0.000853176,-0.001014274
04.05.2016,-0.014361124,-0.01420838
04.06.2016,0.010238639,0.009136849
04.07.2016,-0.007951976,-0.009852887
04.08.2016,0.004636542,0.006571233
04.11.2016,0.00140801,-0.000457631
04.12.2016,0.010857678,0.010369925
4.13.16,0.02248667,0.021309003
4.14.16,-0.000680169,0.002437561
4.15.16,-0.004764426,-0.003475764
4.18.16,0.005319149,0.00417853
4.19.16,0.009297052,0.00664902
4.20.16,0.005167378,0.004277398
4.21.16,-0.000149009,-0.002484985
4.22.16,0.001266766,0.000388833
4.25.16,-0.005804867,-0.004276894
4.26.16,-0.000149712,0.000732283
