Date, DEQ , Bench ,
21-Oct-14,0,0.02235762,
22-Oct-14,0,0.00287062,
23-Oct-14,0,0.00984571,
24-Oct-14,0.03134394,0.0016056,
27-Oct-14,0,-0.00560252,
28-Oct-14,0,0.00906916,
29-Oct-14,0,-0.00062872,
30-Oct-14,0,0.01184708,
31-Oct-14,0.0330558,0.01854185,
03-Nov-14,0,-0.00173619,
04-Nov-14,0,-0.01011224,
05-Nov-14,0,0.01478944,
06-Nov-14,0,0.00510115,
07-Nov-14,0.00507776,-0.00130073,
10-Nov-14,0,0.00443437,
11-Nov-14,0,0.00264157,
12-Nov-14,0,-0.00803571,
13-Nov-14,0,0.00181591,
14-Nov-14,-0.0007217,-0.00010924,
17-Nov-14,0,0.00372795,
18-Nov-14,0,0.00287696,
19-Nov-14,0,-0.00129862,
20-Nov-14,0,-0.00047683,
21-Nov-14,0.02527888,0.01849285,
24-Nov-14,0,0.00103116,
25-Nov-14,0,-0.00123534,
26-Nov-14,0,-0.00054553,
27-Nov-14,0,0.00345303,
28-Nov-14,-0.00407016,-0.00049763,
1-Dec-14,0,-0.00614021,
2-Dec-14,0,0.00884483,
3-Dec-14,0,0.00800227,
4-Dec-14,0,-0.011613,
5-Dec-14,0.01383215,0.0153076,
8-Dec-14,0,-0.00616393,
9-Dec-14,0,-0.01762063,
10-Dec-14,0,-0.0097791,
11-Dec-14,0,0.00438146,
12-Dec-14,-0.05162794,-0.02417612,
15-Dec-14,0,-0.01351135,
16-Dec-14,0,0.0020448,
17-Dec-14,0,0.01571761,
18-Dec-14,0,0.0323534,
19-Dec-14,0.04528364,0.00401724,
22-Dec-14,0,0.00521884,
23-Dec-14,0,0.00677215,
24-Dec-14,0.00899282,-0.00058071,
25-Dec-14,0,-0.00232729,
26-Dec-14,0,0.00464772,
29-Dec-14,0,0.00095765,
30-Dec-14,0,-0.00683637,
31-Dec-14,0,-0.00018432,
01-Jan-15,0,-0.0024669,
02-Jan-15,-0.00209257,0.00338787,
05-Jan-15,0,-0.01564899,
06-Jan-15,0,-0.00816105,
07-Jan-15,0,0.01359404,
08-Jan-15,0,0.02326701,
09-Jan-15,0.00155337,-0.01233735,
12-Jan-15,0,-0.00031511,
13-Jan-15,0,0.00706408,
14-Jan-15,0,-0.01017627,
15-Jan-15,0,0.01697836,
16-Jan-15,0.02465875,0.01570448,
19-Jan-15,0,-0.00476114,
20-Jan-15,0,0.00818986,
21-Jan-15,0,0.00495004,
22-Jan-15,0,0.02247102,
23-Jan-15,0.04941728,0.01366879,
26-Jan-15,0,0.00363909,
27-Jan-15,0,-0.01665086,
28-Jan-15,0,-0.0040314,
29-Jan-15,0,0.00425766,
30-Jan-15,-0.02596085,-0.0067244,
2-Feb-15,0,0.00356653,
3-Feb-15,0,0.0064005,
4-Feb-15,0,0.00202466,
5-Feb-15,0,0.00557116,
6-Feb-15,0.02650467,0.00284843,
9-Feb-15,0,-0.00530327,
10-Feb-15,0,0.00895625,
11-Feb-15,0,-0.0006042,
12-Feb-15,0,0.00555733,
13-Feb-15,0.01435273,0.0037707,
16-Feb-15,0,-0.00030308,
17-Feb-15,0,0.00166239,
18-Feb-15,0,0.00596887,
19-Feb-15,0,0.00011265,
20-Feb-15,0.00995445,0.00509885,
23-Feb-15,0,0.00410617,
24-Feb-15,0,0.00473422,
25-Feb-15,0,-0.00199793,
26-Feb-15,0,0.01109131,
27-Feb-15,0.01450305,-0.00001848,
02-Mar-15,0,0.00339497,
03-Mar-15,0,-0.00641354,
04-Mar-15,0,0.00689833,
05-Mar-15,0,0.00756259,
06-Mar-15,0.00978479,0.00093631,
09-Mar-15,0,0.00169354,
10-Mar-15,0,-0.00605801,
11-Mar-15,0,0.01228355,
12-Mar-15,0,0.00471039,
13-Mar-15,0.01065221,0.00252486,
16-Mar-15,0,0.00846547,
17-Mar-15,0,-0.00635354,
18-Mar-15,0,0.00606528,
19-Mar-15,0,0.00161002,
20-Mar-15,0.00516803,0.00037949,
23-Mar-15,0,-0.01020417,
24-Mar-15,0,-0.00046553,
25-Mar-15,0,-0.01635321,
26-Mar-15,0,-0.00206365,
27-Mar-15,-0.02225686,0.00342025,
30-Mar-15,0,0.01487084,
31-Mar-15,0,-0.00362962,
1-Apr-15,0,-0.00046868,
2-Apr-15,0.0008995,-0.0043445,
3-Apr-15,0,-0.0051401,
6-Apr-15,0,0.00060132,
7-Apr-15,0,0.0146187,
8-Apr-15,0,0.00517916,
9-Apr-15,0,0.013724,
10-Apr-15,0.04258263,0.01020011,
13-Apr-15,0,0.00069117,
14-Apr-15,0,-0.00696444,
15-Apr-15,0,0.00973773,
16-Apr-15,0,-0.00899177,
17-Apr-15,-0.02088588,-0.01740746,
20-Apr-15,0,0.01020216,
21-Apr-15,0,0.00285088,
22-Apr-15,0,0.00319574,
23-Apr-15,0,-0.00430156,
24-Apr-15,0.01286659,-0.00001109,
27-Apr-15,0,0.00172318,
28-Apr-15,0,-0.01029344,
29-Apr-15,0,-0.02031916,
30-Apr-15,-0.03162406,-0.00878321,
1-May-15,0,0.00239218,
4-May-15,0,0.00777401,
5-May-15,0,-0.01421858,
6-May-15,0,-0.01193931,
7-May-15,0,0.00655421,
8-May-15,0.01394645,0.02076256,
11-May-15,0,0.00298221,
12-May-15,0,-0.0121836,
13-May-15,0,-0.005488,
14-May-15,0,0.00787732,
15-May-15,-0.01191611,-0.0045331,
18-May-15,0,0.00721998,
19-May-15,0,0.01871928,
20-May-15,0,0.00351611,
21-May-15,0,0.00292069,
22-May-15,0.0308731,0.00276853,
25-May-15,0,0.00206001,
26-May-15,0,-0.00594973,
27-May-15,0,0.01144532,
28-May-15,0,-0.00398693,
29-May-15,-0.01310242,-0.01417788,
1-Jun-15,0,0.004186,
2-Jun-15,0,-0.01534236,
3-Jun-15,0,-0.00535909,
4-Jun-15,0,-0.00861244,
5-Jun-15,-0.02492724,0.0021328,
8-Jun-15,0,-0.01252608,
9-Jun-15,0,-0.00338348,
10-Jun-15,0,0.0120734,
11-Jun-15,0,0.00783193,
12-Jun-15,0,-0.00969588,
15-Jun-15,0,-0.0094633,
16-Jun-15,-0.01125387,0.00630759,
17-Jun-15,0,-0.00140831,
18-Jun-15,-0.00421556,-0.00162631,
19-Jun-15,0.00218726,0.00272885,
22-Jun-15,0.00929316,0.01118497,
23-Jun-15,0,0.01572381,
