Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll
10.03.2015,36112764.5,31320171.24,0.867288109,31320171.24,0.867288109,-0.007317851,-0.008433335,-0.008433335
11.03.2015,36525739.88,31731731.45,0.868749861,31731731.45,0.868749861,0.011822723,0.013625948,0.013625948
12.03.2015,36564499.29,31732113.57,0.867839412,31732113.57,0.867839412,0.000616249,0.000711265,0.000711265
13.03.2015,36656983.27,31816291.72,0.867946265,31816291.72,0.867946265,0.001773757,0.002038619,0.002038619
16.03.2015,36966918.37,32131591.89,0.869198551,32131591.89,0.869198551,0.008564293,0.009870341,0.009870341
17.03.2015,36734701.43,31889270.02,0.868096616,31889270.02,0.868096616,-0.006296451,-0.007243625,-0.007243625
18.03.2015,36967010.42,32119062.86,0.868857462,32119062.86,0.868857462,0.006475774,0.00746286,0.00746286
19.03.2015,36958642.77,32103183.09,0.868624514,32103183.09,0.868624514,-0.000535359,-0.000618081,-0.000618081
20.03.2015,36523475.21,32027980.93,0.876914936,32027980.93,0.876914936,-6.24E-05,-5.55E-05,-5.55E-05
23.03.2015,37219097.79,33299856.84,0.894698121,33299856.84,0.894698121,-0.009645507,-0.010987622,-0.010987622
24.03.2015,37165604.4,33246751.1,0.894556987,33246751.1,0.894556987,-0.001411189,-0.001579083,-0.001579083
25.03.2015,36580535.68,32661890.81,0.892876231,32661890.81,0.892876231,-0.015656298,-0.017495296,-0.017495296
26.03.2015,36583407.43,32664013.42,0.892864162,32664013.42,0.892864162,8.38E-05,8.83E-05,8.83E-05
27.03.2015,36700320.59,32774988.3,0.893043651,32774988.3,0.893043651,0.003051154,0.003415585,0.003415585
30.03.2015,37158139.47,33230943.95,0.894311298,33230943.95,0.894311298,0.012319488,0.013791101,0.013791101
31.03.2015,37055512.55,33123022.07,0.893875696,33123022.07,0.893875696,-0.002818635,-0.00315761,-0.00315761
01.04.2015,36962851.56,33030373.91,0.893610004,33030373.91,0.893610004,-0.002368372,-0.002648413,-0.002648413
02.04.2015,36742743.44,33564250.24,0.913493308,33564250.24,0.913493308,-0.005968234,-0.006670029,-0.006670029
03.04.2015,36526982.78,33349571.38,0.913011939,33349571.38,0.913011939,-0.006030612,-0.006592538,-0.006592538
