"","DEQ","Bench","Qu","Qe","EUR","SPX","SPXT","BE500","BE500T","Q","Hdg_Cst","US1m","EU1m","Q_hdg","SPX_hdg","SPXT_hdg"
"1861",0,-0.000761300652192709,0,0,0.0116246343530763,-0.0106432787441024,-0.0105518963651594,-0.0141561877987302,-0.0139705375800467,-0.00904074465214855,5.85393824273431e-05,1.1,2.06025,-0.0089822052697212,-0.0105847393616751,-0.0104933569827321
"1862",0,0.00136832328327241,0,0,-0.00617182943263575,0.00679358557670717,0.00682865670949617,0.00710314339682938,0.00747997600663375,-0.00110060544403368,1.94587147875833e-05,1.1,2.06025,-0.00108114672924609,0.00681304429149476,0.00684811542428376
"1863",0,0.00381431956477041,0,0,0.00467407578270237,-0.00257778205922232,-0.0024044252988018,0.0169024698317806,0.0174707325355978,0.00687630393943284,1.94587147875902e-05,1.1,2.06025,0.00689576265422043,-0.00255832334443473,-0.00238496658401421
"1864",0,-0.00356133263904734,0,0,-0.00367064731820976,0.000468347522415868,0.00048134778305986,-0.00622475031260183,-0.0061999024725381,-0.00712532494258866,1.94587147874931e-05,1.1,2.06025,-0.00710586622780117,0.000487806237203361,0.000500806497847353
"1865",0,0.00458673414126221,0,0,0.00125287132696669,0.00400412858888899,0.00401054629966779,-0.000525348055161245,-0.000525099385237482,0.00169855663558138,1.94587147876388e-05,1.1,2.06013,0.00171801535036902,0.00402358730367663,0.00403000501445543
"1866",0,0.00387824972106987,0,0,0.00208463698591321,0.00169029309718116,0.00169791470988478,0.00466011212078854,0.00681386452058952,0.004290781417156,5.83651460366874e-05,1.1,2.06163,0.00434914656319269,0.00174865824321785,0.00175627985592147
"1867",0,0.0211392937938841,0,0,0.00846056805238687,0.0159752725031215,0.0159788380425763,-0.00442659002269874,-0.00422671369048633,-0.00722604509173941,1.94965222703875e-05,1.1,2.06225,-0.00720654856946902,0.0159947690253919,0.0159983345648467
"1868",0,0.00230352207559736,0,0,-8.26002561079286e-05,0.00169659689078916,0.00184523316341068,0.00767579508609018,0.00779863725556762,-0.00360649559411197,1.9513508240393e-05,1.1,2.06225,-0.00358698208587158,0.00171611039902955,0.00186474667165107
"1869",0,0.0171565954651731,0,0,0.0129669441000176,0.00567029808078967,0.00577636953279903,0.00554562105200063,0.00566008315953237,-0.00280392733273427,1.95135082403305e-05,1.11,2.06225,-0.00278441382449394,0.00568981158903,0.00579588304103936
"1870",0,-0.00377369557508178,0,0,-0.00334871877438728,-0.000535245958290353,-0.000516019377354127,-0.00294228152377407,-0.00249896625553081,-0.00110060544403279,1.92395409463197e-05,1.11375,2.06194,-0.00108136590308647,-0.000516006417344034,-0.000496779836407807
"1871",0,-0.00230508592479062,0,0,-0.00286756167166316,0,0,0.00213545805907511,0.00216405325433744,-0.00110060544403368,5.73838329684245e-05,1.11375,2.0635,-0.00104322161106525,5.73838329684245e-05,5.73838329684245e-05
"1872",0,0.00387958914701514,0,0,0.0049107972319202,0.000463896381006634,0.000467464197416945,-0.0079298884562844,-0.0078134051249199,0.00439034830129348,1.91710491111094e-05,1.125,2.0655,0.00440951935040459,0.000483067430117744,0.000486635246528054
"1873",0,0.000990888051230598,0,0,-0.0026979536456789,0.00337460641949239,0.00368953808637329,0.00348068572780225,0.00396102405511378,-0.000500125041682509,1.89176292796911e-05,1.13125,2.06713,-0.000481207412402818,0.00339352404877208,0.00370845571565298
"1874",0,-0.00525292238430275,0,0,0.00106369931888417,-0.00744997044128404,-0.00742320007041108,0.00369942618443186,0.00392065899661809,0.00369317183761808,1.87910563237276e-05,1.15,2.07875,0.00371196289394181,-0.00743117938496031,-0.00740440901408736
"1875",0,0.00931588837587061,0,0,0.00448778852836929,0.00523416434756818,0.00525595845862981,0.00609722912796062,0.00619139914664668,-0.00220242355520028,1.85957175094023e-05,1.16,2.0825,-0.00218382783769088,0.00525276006507758,0.00527455417613921
