Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll,,,,,,,,,,,,
05.10.2015,30241674.92,28466175.34,0.942010403,28681623.8,0.949140082,0.009880777,0.03167182,0.031599132,,40.11895949,140.1189595,0.005459515,0.031110154,,,,,,,
06.10.2015,30248688.1,28631342.95,0.947035453,28848172.41,0.954207494,0.030484354,0.005452328,0.005459515,,41.8226224,141.8226224,0.012158689,0.005444666,,,,,,,
07.10.2015,30662527,28986000.62,0.945345935,29206111.35,0.9525246,0.005178908,0.012136177,0.012158689,,42.90911971,142.9091197,0.007660959,0.012085366,,,,,,,
08.10.2015,30880369.21,29189051.35,0.945349484,29410591.08,0.95252452,0.012099922,0.007669834,0.007660959,,42.61257199,142.612572,-0.002075079,0.007631763,,,,,,,
09.10.2015,30810177.39,28435079.2,0.922818729,28657918.1,0.930050638,0.007096028,-0.00213533,-0.002075079,,42.05749498,142.057495,-0.003892203,-0.002077235,,,,,,,
12.10.2015,30692475.79,28513487.58,0.929065587,28740837.81,0.936473424,-0.001838095,-0.004081382,-0.003892203,,40.27829886,140.2782989,-0.012524479,-0.003899797,,,,,,,
13.10.2015,29975258.58,27959447.16,0.932967835,28188284.23,0.940603809,-0.003989872,-0.01267648,-0.012524479,,39.44762995,139.44763,-0.005921578,-0.012603571,,,,,,,
14.10.2015,29811973.63,27804605.07,0.932601168,28034736.65,0.940320068,-0.0120946,-0.006016322,-0.005921578,,40.69790728,140.6979073,0.008965927,-0.00593918,,,,,,,
15.10.2015,30066013.89,28038663.27,0.932137905,28271167.22,0.939867437,-0.0051466,0.008954812,0.008965927,,40.82257378,140.8225738,0.000886058,0.008925972,,,,,,,
16.10.2015,30590162.95,28061906.47,0.916872866,28295980.65,0.924520824,0.008857188,0.000837378,0.000886058,,41.07114907,141.0711491,0.001765167,0.000885666,,,,,,,
19.10.2015,29959615.8,28098680.05,0.937622527,28337463.54,0.945590474,0.000932328,0.001611982,0.001765167,,40.72338185,140.7233819,-0.00246519,0.00176361,,,,,,,
20.10.2015,29874831.59,28024932.12,0.937991328,28265104.52,0.946029872,0.001552433,-0.002535592,-0.00246519,,40.89700589,140.8970059,0.001233797,-0.002468234,,,,,,,
21.10.2015,29906900.96,28055271.35,0.938197253,28297785.5,0.946307177,-0.002790049,0.001160802,0.001233797,,45.49340278,145.4934028,0.032622389,0.001233036,,,,,,,
22.10.2015,30840059.45,28935875.32,0.938437026,29180591.36,0.946373562,0.000932618,0.032825868,0.032622389,,49.10810361,149.1081036,0.024844431,0.032101575,,,,,,,
23.10.2015,31575564.7,29727368.21,0.941121832,29974127.92,0.948933857,0.031135958,0.024983884,0.024844431,,48.03825451,148.0382545,-0.00717499,0.024540827,,,,,,,
26.10.2015,31354894.4,29532232.7,0.940785804,29783545.45,0.948791683,0.024322289,-0.007387785,-0.00717499,,47.18376618,147.1837662,-0.005772078,-0.007200854,,,,,,,
27.10.2015,31178967.01,29350630.9,0.940580528,29603505.13,0.948684223,-0.006101595,-0.005874187,-0.005772078,,49.10582658,149.1058266,0.013058916,-0.005788801,,,,,,,
28.10.2015,31563013.36,29721031.65,0.940965752,29975468.98,0.949021219,-0.00591716,0.01311822,0.013058916,,49.67908226,149.6790823,0.003844623,0.012974383,,,,,,,
29.10.2015,31684218.26,29808934.83,0.940721685,30065324.05,0.948812913,0.012053571,0.003811839,0.003844623,,49.4223487,149.4223487,-0.001715227,0.003837251,,,,,,,
30.10.2015,31631574.83,29762767.33,0.940765832,30020492.96,0.948912234,0.003308337,-0.001774815,-0.001715227,,51.00878978,151.0087898,0.010617161,-0.001716699,,,,,,,
02.11.2015,31945419.13,30061756.54,0.940972292,30326344.65,0.949254246,-0.001905181,0.010478507,0.010617161,,52.67370856,152.6737086,0.01102531,0.010561194,,,,,,,
03.11.2015,32230547.33,30411068.56,0.942847533,30678356.6,0.951134379,0.010131415,0.011032537,0.01102531,,53.37129398,153.371294,0.004569126,0.010964975,,,,,,,
04.11.2015,32370441.78,30545445.51,0.942300923,30816047.2,0.950648754,0.011265354,0.004500273,0.004569126,,52.24695264,152.2469526,-0.007330846,0.004558719,,,,,,,
05.11.2015,32137532.44,30289135.03,0.941916203,30561302.34,0.950379924,0.004887164,-0.007447211,-0.007330846,,53.55618063,153.5561806,0.008599371,-0.007357849,,,,,,,
06.11.2015,32400781.41,30542760.06,0.942274903,30817029.37,0.950736387,-0.007795737,0.008607249,0.008599371,,51.71395728,151.7139573,-0.011997064,0.008562607,,,,,,,
09.11.2015,31855308.36,30196307.79,0.946996869,30475320.97,0.955747098,0.007784906,-0.012260227,-0.011997064,,51.91145696,151.911457,0.00130179,-0.01206961,,,,,,,
10.11.2015,32771383.82,30213816.61,0.921392327,30494728.63,0.929958944,-0.010871898,0.001250882,0.00130179,,51.31297889,151.3129789,-0.003939651,0.001300943,,,,,,,
11.11.2015,32656769.77,30078302.65,0.921035016,30359069.96,0.92963246,0.000723118,-0.003971511,-0.003939651,,48.55306585,148.5530659,-0.018239764,-0.003947432,,,,,,,
12.11.2015,32092844.42,29536487.33,0.919977094,29820329.91,0.928817979,0,-0.018512271,-0.018239764,,47.95106109,147.9510611,-0.004052456,-0.018408159,,,,,,,
13.11.2015,31878492.64,29410840.16,0.922581371,29697324.04,0.931568013,-0.020955271,-0.004180881,-0.004052456,,49.57491463,149.5749146,0.010975613,-0.004060689,,,,,,,
16.11.2015,32196845.44,30031129.39,0.932820517,30322498.68,0.941870967,-0.004133146,0.010916413,0.010975613,,51.95991024,151.9599102,0.015945158,0.010915818,,,,,,,
17.11.2015,32687033.39,30506769.46,0.933180754,30800972.11,0.942180207,0.009931075,0.016005508,0.015945158,,52.86274644,152.8627464,0.005941279,0.015819369,,,,,,,
18.11.2015,32869583.38,30703908.61,0.933545281,30999803.3,0.942541891,0.015557349,0.005943111,0.005941279,,52.65672833,152.6567283,-0.001347733,0.005923699,,,,,,,
19.11.2015,32822615.16,30643671.29,0.933140068,30940856.23,0.94218974,0.006069803,-0.001402779,-0.001347733,,53.70383729,153.7038373,0.006859239,-0.001348642,,,,,,,
20.11.2015,33032673.75,30860882.6,0.933444585,31159992.01,0.942491703,-0.001723766,0.00686296,0.006859239,,53.56665726,153.5666573,-0.000892496,0.006835821,,,,,,,
23.11.2015,32999755.3,30817214.02,0.933174651,31126465.18,0.942539071,0.006978919,-0.001230071,-0.000892496,,53.12025451,153.1202545,-0.002906899,-0.000892894,,,,,,,
