Date,NAV,Futures,Securities,FxPnL,PayableFees,AccruedFees,AUD Curncy,BRL Curncy,CHF Curncy,CNH Curncy,CNY Curncy,EUR Curncy,GBP Curncy,MXN Curncy,NOK Curncy,USD Curncy,ZAR Curncy,PaidFees,.TAX_EUR LX Equity,TotalFees,Cash
2016-04-07,40377312.78,-1729704.8,37275782.97,617513.1,10903.05,-19193.59,0,0,0,2200.38,0,972729.68,102331.92,0,0,1584994.54,0,0,0,-8290.54,2484016.71
2016-04-08,40368496.6,-1722961.87,37214743.55,662069.83,10894.96,-20586.17,0,0,0,2200.38,0,982229.68,102331.92,0,0,1588275.79,0,0,0,-9691.21,2491683.22
2016-04-11,40428804.03,-3604655.55,37215275.32,723380.22,10870.69,-24768.97,0,0,0,2200.38,0,981421.68,102331.92,0,0,1596028.3,0,0,0,-13898.28,2490148.49
2016-04-12,40510432.8,-3608528.78,37299604.45,603335.74,10862.6,-26168.86,0,0,0,2200.38,0,1083109.08,102331.92,0,0,1605715.79,0,0,0,-15306.26,2607492.60999999
2016-04-13,40725694.26,-3629027.69,37759810.24,437943.36,10854.51,-27579.8,0,0,0,2200.38,0,993819.94,102331.92,0,0,1604152.54,0,0,0,-16725.29,2527940.66
2016-04-14,40833949.09,-3627802.55,37900389.37,399393.13,10846.43,-28992.58,0,0,0,2200.38,0,994819.94,102331.92,0,0,1609152.54,0,0,0,-18146.15,2534166.59
2016-04-15,40850328.89,-3626635.12,37657752.54,464525.15,10838.35,-30404.02,0,0,0,2200.38,0,1191764.5,102331.92,0,0,1612301.84,0,0,0,-19565.67,2728051.2
2016-04-18,40856346.52,-3616823.73,37450874.34,515777.37,10814.09,-34611.55,0,0,0,2200.38,0,1193147.2,102331.92,0,0,1802467.47,0,0,0,-23797.46,2889694.81
2016-04-19,40945036.51,-3604732.22,37476557.82,597301.93,10806.01,-36029.37,0,0,0,2200.38,0,1092247.2,102331.92,0,0,1904603.93,0,0,0,-25223.36,2871176.76
2016-04-20,41119825.6,-3602972.21,37459874.83,513655.2,49378.45,-37455.86,0,0,0,2200.38,0,1151926.18,102331.92,0,0,2099080.6,0,0,0,11922.59,3146295.57
